ID.,性別,学年,専攻,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20
10336,2,1,1,2,2,1,2,1,1,3,1,1,1,1,3,1,1,2,1,3,1,2,4
10337,2,1,1,4,4,1,4,4,1,4,1,3,3,1,4,2,3,2,4,3,1,3,2
10351,1,3,1,1,2,1,3,2,1,3,2,1,2,1,3,2,3,2,2,2,2,2,1
10355,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
10356,2,1,1,4,4,2,4,4,3,4,2,2,2,2,3,2,3,3,2,3,2,2,2
10357,2,1,1,3,3,1,4,4,2,4,3,2,3,2,4,2,3,3,3,3,2,2,1
10358,2,1,1,2,3,3,3,2,3,3,2,3,3,2,3,2,3,3,3,3,1,3,2
10359,1,1,1,3,4,4,4,4,2,4,4,4,4,3,4,3,4,4,4,4,3,4,1
10365,2,1,1,4,4,2,4,4,2,4,4,3,3,2,4,4,4,2,4,4,2,3,1
10366,2,1,1,2,4,3,4,4,3,4,2,2,4,3,4,2,4,4,4,4,3,2,4
10367,2,1,1,4,4,2,4,3,2,4,2,4,3,2,4,2,3,3,3,3,1,4,4
10377,2,1,1,2,3,2,4,2,1,4,1,4,3,1,4,1,2,4,3,4,2,4,4
10378,2,1,1,3,4,1,2,4,1,4,3,2,3,2,4,3,4,1,4,2,1,2,1
10379,1,2,1,2,3,1,4,4,1,3,1,2,2,3,4,4,4,4,4,4,1,2,2
20001,1,2,2,2,4,2,3,4,1,4,1,4,4,1,4,1,1,2,4,2,1,4,4
20002,1,2,2,3,3,2,3,2,2,3,1,4,3,2,3,2,2,2,3,3,1,4,3
20003,1,2,2,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,3
20006,1,2,2,2,3,1,4,2,1,4,2,2,3,2,3,2,2,3,2,2,1,2,3
20008,1,2,2,2,1,1,2,2,1,3,3,3,4,2,3,2,2,1,2,1,3,4,3
20009,1,2,2,3,3,2,3,2,1,1,1,1,2,1,2,1,1,1,1,1,1,3,4
20010,1,2,2,3,4,2,4,4,1,4,1,4,3,1,4,3,3,3,3,4,1,4,2
20011,1,2,2,4,4,1,4,4,1,4,4,4,3,1,4,2,4,4,3,4,2,4,1
20017,1,3,2,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,3,2,2,2,3
20027,1,3,2,1,4,1,3,1,2,2,2,3,2,3,3,1,2,1,1,2,2,4,4
20034,1,2,2,4,3,2,3,3,1,3,1,3,1,2,3,2,3,1,3,2,1,2,1
20035,1,3,2,3,4,2,4,3,2,3,3,4,3,1,4,3,3,3,3,4,2,3,3
20036,1,2,2,4,4,3,4,4,2,4,2,4,1,4,4,4,4,3,2,4,2,3,2
20037,1,2,2,3,3,2,3,3,3,3,2,2,3,2,3,2,2,3,3,3,2,2,2
20038,1,2,2,1,4,4,4,4,3,4,2,3,3,4,4,3,4,4,4,4,2,1,1
20039,1,2,2,3,2,3,3,3,3,3,3,2,2,4,3,3,3,3,2,2,3,2,1
