ID.,性別,学年,専攻,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20
40005,1,2,3,2,4,4,4,3,4,4,1,1,3,4,4,2,2,3,3,4,1,1,2
40006,1,2,3,1,3,2,4,3,3,4,3,3,3,3,4,2,3,3,2,3,2,3,1
40007,1,2,3,3,4,2,2,2,1,4,1,2,1,1,3,1,2,3,1,3,1,2,3
40008,2,2,3,4,4,3,4,4,2,4,1,2,4,3,3,4,3,3,3,3,1,2,4
40009,2,2,3,2,4,1,4,1,1,4,1,4,3,1,4,2,2,3,2,4,2,4,4
40010,2,2,3,4,3,2,3,3,2,3,1,2,3,2,2,3,4,3,3,2,1,2,1
40011,2,2,3,3,3,4,1,1,1,1,1,1,4,3,1,1,1,1,2,1,1,1,4
40012,2,2,3,3,3,1,3,3,1,4,1,3,1,1,3,3,3,3,2,3,1,3,3
40013,2,2,3,2,3,4,4,4,3,4,2,4,3,4,4,2,4,3,3,4,2,4,3
40014,2,2,3,3,4,1,4,3,3,4,2,2,3,2,4,4,4,4,4,4,1,2,2
40015,2,2,3,2,3,1,3,4,3,4,3,2,3,3,4,2,2,4,4,4,2,2,3
40016,2,2,3,2,3,2,3,2,2,4,1,4,1,2,4,2,1,3,2,4,1,4,3
40017,2,2,3,3,4,1,4,2,3,4,1,3,3,3,3,3,2,3,4,3,2,3,3
40018,1,2,3,2,3,3,4,3,2,4,2,3,2,3,4,2,3,2,2,4,2,4,3
40019,1,2,3,4,1,4,3,3,1,3,1,2,1,3,3,4,4,1,1,1,1,2,2
40020,2,2,3,3,3,1,3,3,1,3,2,3,3,1,3,3,2,2,3,3,2,3,2
40028,2,3,3,3,2,3,4,4,3,4,2,3,2,3,4,3,2,4,2,4,3,4,1
40029,2,3,3,2,2,3,4,2,4,3,1,3,2,3,3,2,2,4,2,2,2,2,3
40034,2,3,3,2,4,1,4,4,3,4,1,2,1,1,4,3,3,4,1,4,1,2,1
40035,1,2,3,3,4,2,3,3,3,3,1,2,3,3,3,3,3,2,3,3,1,2,2
40041,1,2,3,1,3,4,4,1,4,1,1,3,2,4,2,2,1,1,2,1,1,3,4
40042,2,2,3,3,4,2,4,3,1,3,1,3,3,1,3,4,2,3,3,3,1,3,2
40043,2,2,3,2,3,3,3,4,3,3,1,3,2,3,3,2,4,1,3,3,1,2,1
40044,2,2,3,3,3,2,4,3,2,4,2,4,2,1,4,3,3,3,2,3,1,4,3
40045,2,2,3,2,3,1,4,4,1,4,3,3,2,1,3,4,4,3,2,3,1,3,1
40046,1,2,3,4,3,3,3,3,3,3,1,3,2,3,3,3,3,2,2,3,1,3,3
40047,2,2,3,3,4,1,4,2,1,3,1,4,4,1,4,2,3,2,3,3,1,4,3
40048,2,2,3,4,4,4,4,3,4,4,2,1,4,4,4,4,1,4,4,4,3,1,1
40049,2,2,3,2,3,2,3,2,2,3,2,3,3,2,3,2,2,3,1,3,2,3,2
40050,1,2,3,4,4,2,4,4,4,4,2,4,2,2,4,4,4,4,2,4,1,3,2
40051,1,2,3,3,4,1,3,2,1,3,1,2,3,1,2,3,2,1,2,2,1,2,3
40052,1,2,3,2,4,3,4,4,4,4,1,4,4,4,4,3,4,4,4,4,1,4,2
40053,1,2,3,4,4,4,4,4,4,4,1,4,4,4,2,3,3,2,3,2,1,4,1
40055,1,2,3,2,2,3,4,3,1,4,3,2,3,3,4,3,3,4,2,4,3,3,2
40056,2,2,3,2,3,4,4,3,4,4,2,4,3,4,4,2,3,4,3,4,1,4,1
40057,2,2,3,3,4,4,4,3,4,4,3,4,3,4,4,2,2,4,3,4,2,4,4
40058,2,2,3,3,4,2,3,2,1,3,1,3,3,1,3,3,3,1,3,3,1,4,3
40059,1,2,3,2,4,3,4,3,1,4,3,2,3,3,4,1,3,4,4,4,2,3,1
40060,1,2,3,2,3,3,4,4,4,3,1,3,1,2,4,1,3,3,3,3,2,3,1
40061,2,2,3,4,3,3,3,4,3,2,1,3,1,3,4,3,4,3,3,3,1,3,2
40062,2,2,3,1,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,1
40063,2,2,3,3,3,2,3,4,3,4,2,3,2,3,3,4,4,2,2,3,2,2,1
40064,2,2,3,4,4,4,4,4,4,4,3,3,4,4,4,3,3,4,4,4,1,2,1
40065,1,2,3,1,2,1,3,1,1,3,1,1,2,1,4,1,1,2,2,3,1,4,4
40067,1,2,3,2,3,1,2,4,3,3,3,3,3,3,3,3,2,3,2,2,3,2,3
40068,2,2,3,1,3,3,4,4,3,4,3,1,3,3,4,3,4,3,3,3,2,2,1
40069,2,2,3,2,3,1,4,2,1,4,1,3,2,1,4,1,1,2,2,3,1,1,4
40070,1,2,3,1,3,4,4,3,4,4,3,4,1,4,3,1,3,3,2,3,4,4,1
40072,1,2,3,4,3,3,4,3,1,1,1,3,2,3,2,3,2,2,1,1,1,3,4
40074,2,3,3,2,2,1,3,1,1,2,1,3,1,2,2,2,1,2,1,2,1,3,4
40075,2,2,3,1,3,1,4,4,3,4,3,2,2,3,4,3,4,3,3,4,1,3,1
40078,1,2,3,4,3,2,3,3,1,3,1,1,2,1,3,2,3,2,2,3,1,2,1
40080,2,2,3,4,4,3,4,4,4,4,2,3,4,3,4,4,4,4,4,4,1,3,1
40081,1,2,3,3,4,2,3,2,1,4,2,3,4,2,3,4,2,1,3,2,1,3,3
40082,1,2,3,4,3,1,4,3,1,2,3,2,2,2,2,1,3,2,2,2,2,2,2
40083,2,2,3,3,3,1,4,4,2,4,2,4,3,3,4,4,3,4,3,4,2,4,2
40084,2,2,3,4,3,4,4,4,4,4,3,3,2,4,4,4,4,3,3,4,2,4,1
